instancia, selectionSort, mergeSort
16384, 0.409154178, 0.005941314
16384, 0.408657918, 0.002701033
16384, 0.309718972, 0.003132466
16384, 0.331701476, 0.003430737
16384, 0.329924459, 0.003009973
16384, 0.312855369, 0.002919125
16384, 0.348493272, 0.003562446
16384, 0.382956426, 0.003637449
16384, 0.381973973, 0.003624366
16384, 0.318293084, 0.003085311
16384, 0.304389273, 0.003474877
16384, 0.315660416, 0.003799049
16384, 0.330347441, 0.003079455
16384, 0.319737156, 0.003106379
16384, 0.322666135, 0.00298935
16384, 0.320514609, 0.003094382
16384, 0.31087112, 0.002818689
16384, 0.308462764, 0.003080724
16384, 0.303957411, 0.002821443
16384, 0.30173363, 0.002951012
16384, 0.302097943, 0.003010313
16384, 0.295202825, 0.002593332
16384, 0.287991545, 0.003077591
16384, 0.308094597, 0.002986403
16384, 0.303828952, 0.003187996
16384, 0.315648452, 0.003272283
16384, 0.306236213, 0.002740794
16384, 0.309000365, 0.003081158
16384, 0.307611471, 0.002713199
16384, 0.303967238, 0.002931406
16384, 0.292370661, 0.003070749
16384, 0.302362442, 0.002962161
16384, 0.291340912, 0.002686783
16384, 0.287436124, 0.003300025
16384, 0.307840549, 0.003082443
16384, 0.308439605, 0.002672773
16384, 0.309773019, 0.003077316
16384, 0.315668506, 0.002914456
16384, 0.299991266, 0.002936178
16384, 0.308547058, 0.003298021
16384, 0.306796253, 0.003002764
16384, 0.313002716, 0.003110078
16384, 0.313671272, 0.00315042
16384, 0.300336291, 0.003104349
16384, 0.301174814, 0.002892079
16384, 0.3066377, 0.003079308
16384, 0.312210417, 0.002989556
16384, 0.288523138, 0.002833249
16384, 0.320042394, 0.002989227
16384, 0.308905911, 0.002662397
16384, 0.306577759, 0.002982701
16384, 0.306566872, 0.002661528
16384, 0.306166651, 0.003208527
16384, 0.298871943, 0.002671982
16384, 0.30823307, 0.003071302
16384, 0.353458746, 0.003523593
16384, 0.353521919, 0.003093882
16384, 0.426006964, 0.003416183
16384, 0.316782715, 0.002733976
16384, 0.316362046, 0.003229159
16384, 0.340886912, 0.003129563
16384, 0.303301621, 0.002671674
16384, 0.329980869, 0.002929118
16384, 0.320364004, 0.003288151
16384, 0.32715229, 0.003522841
16384, 0.310355952, 0.003189875
16384, 0.325617373, 0.003176012
16384, 0.331861732, 0.00301503
16384, 0.328486517, 0.002989892
32768, 1.302289768, 0.006360315
32768, 1.286509755, 0.005816199
32768, 1.34139069, 0.006625049
32768, 1.324812204, 0.006291739
32768, 1.292155403, 0.006307742
32768, 1.325895051, 0.006305178
32768, 1.281555284, 0.006367105
32768, 1.335693601, 0.006369084
32768, 1.37534418, 0.006592417
32768, 1.417335571, 0.007396569
32768, 1.232065409, 0.006041166
32768, 1.256794655, 0.005986356
32768, 1.25368392, 0.006164787
32768, 1.245890841, 0.007734067
32768, 1.214447675, 0.007218261
32768, 1.213449243, 0.005709263
32768, 1.250763927, 0.006669176
32768, 1.208654017, 0.005676531
32768, 1.262615467, 0.006384279
32768, 1.493173986, 0.005998122
32768, 1.277688979, 0.005726854
32768, 1.271341037, 0.00743236
32768, 1.330238271, 0.006559162
32768, 1.291327699, 0.00628101
32768, 1.305752032, 0.007239308
32768, 1.29397374, 0.006259494
32768, 1.277895932, 0.006178515
32768, 1.295541763, 0.006530444
32768, 1.271134438, 0.005679871
32768, 1.298963317, 0.006395331
32768, 1.337646756, 0.005837478
32768, 1.373136597, 0.006832858
32768, 1.316412069, 0.006093116
32768, 1.326491304, 0.006043072
32768, 1.312204156, 0.007238206
32768, 1.297767706, 0.006093211
32768, 1.259705025, 0.006028384
32768, 1.292775526, 0.006022018
32768, 1.288389661, 0.006227883
32768, 1.296764368, 0.005750833
32768, 1.296888458, 0.006865213
32768, 1.320138249, 0.007141671
32768, 1.385175803, 0.005470738
32768, 1.29134667, 0.005723168
32768, 1.340177663, 0.006880028
32768, 1.318743993, 0.006341374
32768, 1.30795583, 0.006226472
32768, 1.449987094, 0.006656611
32768, 1.329586656, 0.005432141
32768, 1.310544142, 0.006444202
32768, 1.299406384, 0.007091582
32768, 1.336250312, 0.005950844
32768, 1.399137801, 0.006700485
32768, 1.300649456, 0.006271081
32768, 1.244721761, 0.007752004
32768, 1.250537458, 0.006342412
32768, 1.226003821, 0.006918857
32768, 1.219142769, 0.006283429
32768, 1.220469751, 0.006366472
32768, 1.238981775, 0.006188895
32768, 1.205866005, 0.006476981
32768, 1.242969756, 0.006420749
32768, 1.245192899, 0.006535359
32768, 1.244484224, 0.006445965
32768, 1.216667843, 0.005427716
32768, 1.408426645, 0.005523991
32768, 1.322115564, 0.0058857
32768, 1.307694062, 0.006830016
32768, 1.316937256, 0.006167331
32768, 1.305039479, 0.00667977
32768, 1.303013205, 0.006999657
32768, 1.312264414, 0.005981248
32768, 1.435297074, 0.006183858
32768, 1.341666149, 0.00614575
32768, 1.348672547, 0.007446135
32768, 1.224797657, 0.006072231
32768, 1.275891179, 0.006841941
32768, 1.260185289, 0.005702052
32768, 1.205778932, 0.006328908
32768, 1.324970981, 0.016314609
32768, 1.283673088, 0.006735115
32768, 1.221063178, 0.006215464
32768, 1.367903472, 0.006384125
32768, 1.217663012, 0.006638942
32768, 1.244809427, 0.006762333
32768, 1.229724899, 0.006058796
32768, 1.223405538, 0.006192888
32768, 1.233691055, 0.00547585
32768, 1.451738281, 0.005509837
32768, 1.256016189, 0.006680995
32768, 1.244769841, 0.005878107
32768, 1.234267286, 0.006997658
32768, 1.253783819, 0.006347115
32768, 1.234354284, 0.005561024
32768, 1.272776182, 0.005985437
32768, 1.237674212, 0.006256976
32768, 1.228556441, 0.007109663
32768, 1.457399535, 0.00646647
32768, 1.316215441, 0.006364465
32768, 1.317222642, 0.005727882
